1519758000 15
1519761600 19
1519765200 114
1519768800 34
1519772400 17
1519776000 41
1519779600 48
1519783200 48
1519786800 51
1519790400 75
1519794000 58
1519797600 52
1519801200 47
1519804800 60
1519808400 9
1519812000 35
1519815600 33
1519819200 32
1519822800 33
1519826400 37
1519830000 42
1519833600 73
1519837200 78
1519840800 96
1519844400 87
1519848000 92
1519851600 117
1519855200 110
1519858800 105
1519862400 98
1519866000 109
1519869600 89
1519873200 97
1519876800 103
1519880400 95
1519884000 81
1519887600 79
1519891200 56
1519894800 59
1519898400 43
1519902000 33
1519905600 39
1519909200 36
1519912800 57
1519916400 51
1519920000 74
1519923600 80
1519927200 114
1519930800 104
1519934400 112
1519938000 113
1519941600 102
1519945200 97
1519948800 109
1519952400 91
1519956000 113
1519959600 111
1519963200 110
1519966800 100
1519970400 76
1519974000 52
1519977600 42
1519981200 46
1519984800 40
1519988400 47
1519992000 44
1519995600 65
1519999200 75
1520002800 73
1520006400 82
1520010000 102
1520013600 86
1520017200 103
1520020800 94
1520024400 110
1520028000 37
1520031600 122
1520035200 123
1520038800 110
1520042400 102
1520046000 194
1520049600 106
1520053200 87
1520056800 97
1520060400 77
1520064000 64
1520067600 68
1520071200 76
1520074800 80
1520078400 75
1520082000 79
1520085600 75
1520089200 77
1520092800 107
1520096400 122
1520100000 100
1520103600 123
1520107200 170
1520110800 136
1520114400 140
1520118000 244
1520121600 175
1520125200 139
1520128800 161
1520132400 160
1520136000 155
1520139600 135
1520143200 122
1520146800 116
1520150400 95
1520154000 80
1520157600 90
1520161200 104
1520164800 108
1520168400 106
1520172000 123
1520175600 160
1520179200 183
1520182800 213
1520186400 184
1520190000 214
1520193600 212
1520197200 241
1520200800 231
1520204400 222
1520208000 168
1520211600 167
1520215200 154
1520218800 176
1520222400 153
1520226000 135
1520229600 134
1520233200 123
1520236800 111
1520240400 95
1520244000 86
1520247600 79
1520251200 98
1520254800 106
1520258400 109
1520262000 137
1520265600 141
1520269200 168
1520272800 174
1520276400 194
1520280000 218
1520283600 205
1520287200 210
1520290800 205
1520294400 299
1520298000 189
1520301600 196
1520305200 189
1520308800 192
1520312400 174
1520316000 144
1520319600 126
1520323200 104
1520326800 105
1520330400 100
1520334000 96
1520337600 112
1520341200 125
1520344800 138
1520348400 141
1520352000 183
1520355600 189
1520359200 190
1520362800 224
1520366400 231
1520370000 218
1520373600 250
1520377200 257
1520380800 239
1520384400 263
1520388000 237
1520391600 256
1520395200 241
1520398800 225
1520402400 192
1520406000 147
1520409600 150
1520413200 128
1520416800 151
1520420400 136
1520424000 133
1520427600 138
1520431200 163
1520434800 182
1520438400 199
1520442000 222
1520445600 229
1520449200 261
1520452800 307
1520456400 302
1520460000 331
1520463600 331
1520467200 319
1520470800 333
1520474400 335
1520478000 344
1520481600 360
1520485200 339
1520488800 280
